date,YYYYMMDD,cum_confirmed,cum_tests,cum_deaths,daily_confirmed
11-03-2020,20200311,13,645,0,13
12-03-2020,20200312,16,848,0,3
13-03-2020,20200313,24,924,0,8
14-03-2020,20200314,38,1017,0,14
15-03-2020,20200315,51,1476,0,13
16-03-2020,20200316,62,2405,0,11
17-03-2020,20200317,85,2911,0,23
18-03-2020,20200318,116,3070,0,31
19-03-2020,20200319,150,4832,0,34
20-03-2020,20200320,202,6438,0,52
21-03-2020,20200321,240,7425,0,38
22-03-2020,20200322,274,9315,0,34
23-03-2020,20200323,402,12815,0,128
24-03-2020,20200324,554,15529,0,152
26-03-2020,20200326,927,20471,0,373
27-03-2020,20200327,1170,28537,1,243
28-03-2020,20200328,1187,31963,1,17
29-03-2020,20200329,1280,35593,2,93
30-03-2020,20200330,1326,38409,3,46
31-03-2020,20200331,1353,41072,5,27
01-04-2020,20200401,1380,44292,5,27
02-04-2020,20200402,1462,47965,5,82
03-04-2020,20200403,1505,50361,9,43
04-04-2020,20200404,1585,53937,9,80
05-04-2020,20200405,1655,56873,11,70
06-04-2020,20200406,1686,58098,12,31
08-04-2020,20200408,1845,63776,18,159
09-04-2020,20200409,1934,68874,18,89
10-04-2020,20200410,2003,73028,24,69
11-04-2020,20200411,2028,75053,25,25
12-04-2020,20200412,2173,80085,25,145
13-04-2020,20200413,2272,83663,27,99
14-04-2020,20200414,2415,87022,27,143
15-04-2020,20200415,2506,90515,34,91
16-04-2020,20200416,2605,95060,48,99
17-04-2020,20200417,2783,100827,50,178
18-04-2020,20200418,3034,108201,52,251
19-04-2020,20200419,3158,114711,54,124
20-04-2020,20200420,3300,121510,58,142
21-04-2020,20200421,3465,126937,58,165
22-04-2020,20200422,3635,133774,65,170
23-04-2020,20200423,3953,143570,75,318
24-04-2020,20200424,4220,152390,79,267
25-04-2020,20200425,4361,161004,86,141
26-04-2020,20200426,4546,168643,87,185
27-04-2020,20200427,4793,178470,90,247
28-04-2020,20200428,4996,185497,93,203
29-04-2020,20200429,5350,197127,103,354
30-04-2020,20200430,5647,207530,103,297
01-05-2020,20200501,5951,217522,116,304
02-05-2020,20200502,6336,230686,123,385
03-05-2020,20200503,6783,245747,131,447
04-05-2020,20200504,7220,257541,138,437
05-05-2020,20200505,7572,268064,148,352
06-05-2020,20200506,7808,279379,153,236
07-05-2020,20200507,8232,292153,161,424
08-05-2020,20200508,8895,307752,178,663
09-05-2020,20200509,9420,324079,186,525
10-05-2020,20200510,10015,341336,194,595
11-05-2020,20200511,10652,356067,206,637
12-05-2020,20200512,11350,369697,206,698
13-05-2020,20200513,12074,386352,219,724
14-05-2020,20200514,12739,403018,238,665
15-05-2020,20200515,13524,421555,247,785
16-05-2020,20200516,14355,439559,261,831
17-05-2020,20200517,15515,460873,264,1160
18-05-2020,20200518,16433,475071,286,918
19-05-2020,20200519,17200,488609,312,767
20-05-2020,20200520,18003,505861,339,803
21-05-2020,20200521,19137,525433,369,1134
22-05-2020,20200522,20125,543032,397,988
23-05-2020,20200523,21343,564370,407,1218
24-05-2020,20200524,22583,583855,429,1240
25-05-2020,20200525,23615,596777,481,1032
26-05-2020,20200526,24264,605991,524,649
27-05-2020,20200527,25937,634996,552,1673
28-05-2020,20200528,27403,655723,577,1466
29-05-2020,20200529,29240,680175,611,1837
30-05-2020,20200530,30967,701883,643,1727
31-05-2020,20200531,32683,725125,683,1716
01-06-2020,20200601,34357,742742,705,1674
02-06-2020,20200602,35812,761534,755,1455
03-06-2020,20200603,37525,785979,792,1713
04-06-2020,20200604,40792,820675,848,3267
05-06-2020,20200605,43434,850871,908,2642
06-06-2020,20200606,45973,891668,952,2539
07-06-2020,20200607,48285,920064,998,2312
08-06-2020,20200608,50879,943059,1080,2594
09-06-2020,20200609,52991,968070,1162,2112
10-06-2020,20200610,55421,998400,1210,2430
11-06-2020,20200611,58568,1028399,1284,3147
12-06-2020,20200612,61927,1060425,1354,3359
13-06-2020,20200613,65736,1087887,1423,3809
14-06-2020,20200614,70038,1121958,1480,4302
15-06-2020,20200615,73533,1148933,1568,3495
16-06-2020,20200616,76334,1172513,1625,2801
17-06-2020,20200617,80412,1207360,1674,4078
18-06-2020,20200618,83890,1228098,1737,3478
19-06-2020,20200619,87715,1260434,1831,3825
20-06-2020,20200620,92681,1293608,1877,4966
21-06-2020,20200621,97302,1328060,1930,4621
22-06-2020,20200622,101590,1353176,1991,4288
23-06-2020,20200623,106108,1382772,2102,4518
24-06-2020,20200624,111796,1416894,2205,5688
25-06-2020,20200625,118375,1460012,2292,6579
26-06-2020,20200626,124590,1493104,2340,6215
27-06-2020,20200627,131800,1529009,2413,7210
28-06-2020,20200628,138134,1567084,2456,6334
29-06-2020,20200629,144264,1596995,2529,6130
30-06-2020,20200630,151209,1630008,2657,6945
01-07-2020,20200701,159333,1666939,2749,8124
02-07-2020,20200702,168061,1706127,2844,8728
03-07-2020,20200703,177124,1745153,2952,9063
04-07-2020,20200704,187977,1792078,3026,10853
05-07-2020,20200705,196750,1830161,3199,8773
06-07-2020,20200706,205721,1864111,3310,8971
07-07-2020,20200707,215855,1907532,3502,10134
08-07-2020,20200708,224665,1944399,3602,8810
09-07-2020,20200709,238339,2000569,3720,13674
10-07-2020,20200710,250687,2057232,3860,12348
11-07-2020,20200711,264184,2108570,3971,13497
12-07-2020,20200712,276242,2154391,4079,12058
13-07-2020,20200713,287796,2194624,4172,11554
14-07-2020,20200714,298292,2232738,4346,10496
15-07-2020,20200715,311049,2278127,4453,12757
16-07-2020,20200716,324221,2324923,4669,13172
17-07-2020,20200717,337594,2373053,4804,13373
18-07-2020,20200718,350879,2422741,4948,13285
19-07-2020,20200719,364328,2471747,5033,13449
20-07-2020,20200720,373628,2505646,5173,9300
21-07-2020,20200721,381798,2536921,5368,8170
22-07-2020,20200722,394948,2585474,5940,13150
23-07-2020,20200723,408052,2632106,6093,13104
24-07-2020,20200724,421996,2684488,6343,13944
25-07-2020,20200725,434200,2730812,6655,12204
26-07-2020,20200726,445433,2773778,6769,11233
27-07-2020,20200727,452529,2802211,7067,7096
28-07-2020,20200728,459761,2830635,7257,7232
29-07-2020,20200729,471123,2873163,7497,11362
30-07-2020,20200730,482169,2918049,7812,11046
31-07-2020,20200731,493183,2959535,8005,11014
01-08-2020,20200801,503290,3001985,8153,10107
02-08-2020,20200802,511485,3036779,8366,8195
03-08-2020,20200803,516862,3058695,8539,5377
04-08-2020,20200804,521318,3078202,8884,4456
05-08-2020,20200805,529877,3113191,9298,8559
06-08-2020,20200806,538184,3149807,9604,8307
07-08-2020,20200807,545476,3183658,9909,7292
08-08-2020,20200808,553188,3220265,10210,7712
09-08-2020,20200809,559858,3250583,10408,6670
10-08-2020,20200810,563598,3267494,10621,3740
11-08-2020,20200811,566109,3278977,10751,2511
12-08-2020,20200812,568919,3295434,11010,2810
13-08-2020,20200813,572865,3315497,11270,3946
14-08-2020,20200814,579140,3351111,11556,6275
15-08-2020,20200815,583653,3378029,11677,4513
16-08-2020,20200816,587345,3400638,11839,3692
17-08-2020,20200817,589886,3415670,11982,2541
18-08-2020,20200818,592144,3430347,12264,2258
19-08-2020,20200819,596060,3455671,12423,3916
20-08-2020,20200820,599940,3480283,12618,3880
21-08-2020,20200821,603338,3504507,12843,3398
22-08-2020,20200822,607045,3535067,12987,3707